,E,R
254,588.732,1.7981024119348728e-06
255,598.254,1.8326554314527135e-06
256,607.93,1.8109968875977606e-06
257,617.763,1.7594033556803494e-06
258,627.755,1.6879968546588286e-06
259,637.908,1.6090593522074963e-06
260,648.226,1.5352832069532344e-06
261,658.711,1.4632134816119422e-06
262,669.365,1.3913074682207373e-06
263,680.191,1.3206932065869666e-06
264,691.193,1.253177260000029e-06
265,702.372,1.1843796008393789e-06
266,713.733,1.1151300223094467e-06
267,725.277,1.0462925524190136e-06
268,737.008,9.773992844674863e-07
269,748.928,9.08109234163696e-07
270,761.042,8.418247679041287e-07
271,773.351,7.796720404377975e-07
272,785.859,7.19193086429738e-07
273,798.57,6.557858850929183e-07
274,811.486,6.014593802144967e-07
275,824.611,5.514916056078627e-07
276,837.949,4.956097352992906e-07
277,851.502,3.6004485806753873e-07
278,865.274,5.680661502580998e-07
279,879.269,5.752197037886765e-07
280,893.491,5.643498208289082e-07
281,907.943,5.462865343528639e-07
282,922.628,5.245214825638481e-07
283,937.551,5.009541427376812e-07
284,952.715,4.7595227082870945e-07
285,968.124,4.5104429616068407e-07
286,983.783,4.274288615356723e-07
287,999.695,4.0718925152160333e-07
288,1015.86,3.948127549377484e-07
289,1032.29,3.7891444692067323e-07
290,1048.99,3.6012897301962704e-07
291,1065.96,3.410610944762957e-07
292,1083.2,3.2227979231848024e-07
293,1100.72,3.0402854800635484e-07
294,1118.52,2.864246982800509e-07
295,1136.61,2.695207540914337e-07
296,1155.0,2.5333712184704857e-07
297,1173.68,2.3788735639355174e-07
298,1192.66,2.2315576057717166e-07
299,1211.95,2.091184199000426e-07
300,1231.55,1.9575111856072329e-07
301,1251.47,1.8301217047507193e-07
302,1271.72,1.7085368164146632e-07
303,1292.29,1.592267631826139e-07
304,1313.19,1.4806093933916312e-07
305,1334.43,1.3726068133968955e-07
306,1356.01,1.266786171948686e-07
307,1377.94,1.1603103388676685e-07
308,1400.23,1.0461275280768362e-07
309,1422.88,8.916584972448774e-08
310,1445.89,9.550591029016192e-08
311,1469.28,9.796038355154458e-08
312,1493.04,9.573765624047086e-08
313,1517.19,9.21748262815925e-08
314,1541.73,8.806269184311804e-08
315,1566.67,8.372027971452783e-08
316,1592.01,7.928430727921668e-08
317,1617.76,7.476746290581734e-08
318,1643.92,6.974800474113875e-08
319,1670.51,6.741436838562145e-08
320,1697.53,6.428951987825829e-08
321,1724.99,6.098320289360098e-08
322,1752.89,5.770500334086979e-08
323,1781.24,5.4510864200543435e-08
324,1810.05,5.1429409774958164e-08
325,1839.32,4.8477074797158815e-08
326,1869.07,4.5660623050419335e-08
327,1899.3,4.2982256692763865e-08
328,1930.02,4.0440943725373244e-08
329,1961.24,3.803381972923981e-08
330,1992.96,3.575576208339313e-08
331,2025.2,3.361342999419907e-08
332,2057.95,3.15902752897654e-08
333,2091.24,2.9674304483088125e-08
334,2125.06,2.7865759787025208e-08
335,2159.43,2.61600204857149e-08
336,2194.36,2.455229471001322e-08
337,2229.85,2.3038060926547672e-08
338,2265.92,2.1612305009030145e-08
339,2302.57,2.0270607809193078e-08
340,2339.81,1.9008810709237234e-08
341,2377.66,1.7822185385399367e-08
342,2416.11,1.6706962445389763e-08
343,2455.19,1.5658809040216552e-08
344,2494.9,1.4674180199807958e-08
345,2535.26,1.3749280785470822e-08
346,2576.26,1.2881072209630349e-08
347,2617.93,1.2065867148574497e-08
348,2660.27,1.1300788312004955e-08
349,2703.3,1.058273442787161e-08
350,2747.03,9.908948094003167e-09
351,2791.46,9.27694212828487e-09
352,2836.61,8.684120865543686e-09
353,2882.49,8.128150407900061e-09
354,2929.11,7.606784346237231e-09
355,2976.48,7.117911336783162e-09
356,3024.63,6.659404399993364e-09
357,3073.55,6.22964519985848e-09
358,3123.26,5.82676825860427e-09
359,3173.78,5.4490232809715526e-09
360,3225.11,5.094946110925644e-09
361,3277.27,4.763014805089792e-09
362,3330.28,4.451787687549431e-09
363,3384.15,4.159978449792792e-09
364,3438.88,3.88640879795201e-09
365,3494.5,3.6298183742439533e-09
366,3551.02,3.3891133506326227e-09
367,3608.46,3.1632122720719008e-09
368,3666.82,2.951160800695122e-09
369,3726.13,2.7519234848613503e-09
370,3786.4,2.5645718446530683e-09
371,3847.64,2.38818069342062e-09
372,3909.87,2.22176637709273e-09
373,3973.11,2.0642790243331774e-09
374,4037.38,1.914501978917787e-09
375,4102.68,1.770867178871865e-09
376,4169.03,1.6307519252604417e-09
377,4236.46,1.4883120264459097e-09
