W,R
0.00011677,0.999980975
0.000119303,0.999980769
0.000121892,0.999980562
0.000124537,0.999980352
0.00012724,0.99998014
0.000130001,0.999979926
0.000132822,0.999979709
0.000135704,0.99997949
0.000138648,0.999979269
0.000141657,0.999979045
0.000144731,0.999978819
0.000147872,0.99997859
0.00015108,0.999978359
0.000154359,0.999978126
0.000157708,0.99997789
0.00016113,0.999977651
0.000164627,0.99997741
0.000168199,0.999977166
0.000171849,0.99997692
0.000175578,0.99997667
0.000179388,0.999976419
0.000183281,0.999976164
0.000187258,0.999975907
0.000191321,0.999975647
0.000195473,0.999975384
0.000199714,0.999975119
0.000204048,0.99997485
0.000208476,0.999974579
0.000213,0.999974304
0.000217622,0.999974027
0.000222344,0.999973747
0.000227169,0.999973463
0.000232098,0.999973177
0.000237135,0.999972888
0.00024228,0.999972595
0.000247538,0.999972299
0.000252909,0.999972
0.000258397,0.999971698
0.000264004,0.999971393
0.000269733,0.999971084
0.000275586,0.999970772
0.000281566,0.999970457
0.000287676,0.999970138
0.000293918,0.999969816
0.000300296,0.99996949
0.000306813,0.999969161
0.00031347,0.999968828
0.000320272,0.999968491
0.000327222,0.999968151
0.000334323,0.999967808
0.000341577,0.99996746
0.000348989,0.999967109
0.000356562,0.999966754
0.0003643,0.999966395
0.000372205,0.999966033
0.000380281,0.999965666
0.000388533,0.999965296
0.000396964,0.999964921
0.000405578,0.999964543
0.000414379,0.99996416
0.000423371,0.999963773
0.000432558,0.999963382
0.000441944,0.999962987
0.000451534,0.999962588
0.000461332,0.999962184
0.000471343,0.999961776
0.000481571,0.999961363
0.000492021,0.999960946
0.000502697,0.999960525
0.000513606,0.999960099
0.000524751,0.999959668
0.000536137,0.999959233
0.000547771,0.999958793
0.000559658,0.999958348
0.000571802,0.999957899
0.00058421,0.999957445
0.000596887,0.999956985
0.000609839,0.999956521
0.000623072,0.999956052
0.000636593,0.999955578
0.000650407,0.999955098
0.00066452,0.999954614
0.00067894,0.999954124
0.000693672,0.999953629
0.000708725,0.999953128
0.000724104,0.999952623
0.000739817,0.999952111
0.00075587,0.999951595
0.000772272,0.999951072
0.00078903,0.999950544
0.000806152,0.99995001
0.000823645,0.999949471
0.000841518,0.999948926
0.000859778,0.999948375
0.000878435,0.999947817
0.000897496,0.999947254
0.000916972,0.999946685
0.00093687,0.99994611
0.000957199,0.999945528
0.00097797,0.99994494
0.000999191,0.999944346
0.001020873,0.999943746
0.001043026,0.999943139
0.001065659,0.999942525
0.001088783,0.999941905
0.001112409,0.999941278
0.001136548,0.999940644
0.001161211,0.999940003
0.001186408,0.999939356
0.001212153,0.999938702
0.001238456,0.99993804
0.00126533,0.999937371
0.001292787,0.999936696
0.00132084,0.999936012
0.001349501,0.999935322
0.001378785,0.999934624
0.001408704,0.999933918
0.001439272,0.999933205
0.001470504,0.999932484
0.001502413,0.999931756
0.001535015,0.999931019
0.001568324,0.999930275
0.001602355,0.999929523
0.001637126,0.999928762
0.001672651,0.999927993
0.001708946,0.999927216
0.00174603,0.999926431
0.001783918,0.999925637
0.001822628,0.999924834
0.001862178,0.999924023
0.001902586,0.999923203
0.001943872,0.999922375
0.001986053,0.999921537
0.002029149,0.99992069
0.002073181,0.999919834
0.002118168,0.999918969
0.002164131,0.999918095
0.002211092,0.999917211
0.002259071,0.999916317
0.002308092,0.999915414
0.002358176,0.999914501
0.002409348,0.999913579
0.002461629,0.999912646
0.002515046,0.999911704
0.002569621,0.999910751
0.00262538,0.999909788
0.00268235,0.999908814
0.002740556,0.99990783
0.002800024,0.999906835
0.002860784,0.99990583
0.002922861,0.999904814
0.002986286,0.999903786
0.003051087,0.999902748
0.003117294,0.999901699
0.003184938,0.999900638
0.00325405,0.999899566
0.003324661,0.999898482
0.003396804,0.999897386
0.003470513,0.999896279
0.003545822,0.99989516
0.003622765,0.999894028
0.003701377,0.999892885
0.003781695,0.999891729
0.003863756,0.99989056
0.003947598,0.999889379
0.004033259,0.999888185
0.004120778,0.999886979
0.004210197,0.999885759
0.004301557,0.999884526
0.004394898,0.99988328
0.004490265,0.999882021
0.004587702,0.999880747
0.004687253,0.99987946
0.004788964,0.99987816
0.004892882,0.999876845
0.004999056,0.999875516
0.005107533,0.999874172
0.005218364,0.999872814
0.0053316,0.999871442
0.005447293,0.999870055
0.005565497,0.999868652
0.005686265,0.999867235
0.005809654,0.999865802
0.005935721,0.999864354
0.006064523,0.99986289
0.006196121,0.99986141
0.006330574,0.999859915
0.006467944,0.999858403
0.006608295,0.999856875
0.006751692,0.999855331
0.006898201,0.999853769
0.007047888,0.999852191
0.007200824,0.999850596
0.007357079,0.999848984
0.007516724,0.999847354
0.007679833,0.999845707
0.007846482,0.999844042
0.008016747,0.999842359
0.008190706,0.999840658
0.008368441,0.999838938
0.008550032,0.9998372
0.008735563,0.999835443
0.008925121,0.999833667
0.009118792,0.999831872
0.009316665,0.999830058
0.009518832,0.999828224
0.009725386,0.99982637
0.009936423,0.999824497
0.010152038,0.999822603
0.010372333,0.999820688
0.010597407,0.999818753
0.010827366,0.999816797
0.011062315,0.99981482
0.011302362,0.999812822
0.011547618,0.999810802
0.011798195,0.99980876
0.012054211,0.999806696
0.012315781,0.99980461
0.012583028,0.999802502
0.012856073,0.999800371
0.013135044,0.999798216
0.013420068,0.999796039
0.013711277,0.999793838
0.014008806,0.999791613
0.01431279,0.999789364
0.014623371,0.999787091
0.014940691,0.999784793
0.015264897,0.999782471
0.015596138,0.999780123
0.015934566,0.999777751
0.016280339,0.999775352
0.016633614,0.999772928
0.016994556,0.999770477
0.01736333,0.999768001
0.017740106,0.999765497
0.018125057,0.999762966
0.018518363,0.999760408
0.018920202,0.999757823
0.019330762,0.999755209
0.01975023,0.999752568
0.0201788,0.999749897
0.020616671,0.999747198
0.021064043,0.99974447
0.021521122,0.999741713
0.02198812,0.999738925
0.022465252,0.999736108
0.022952737,0.99973326
0.023450801,0.999730382
0.023959672,0.999727472
0.024479585,0.999724531
0.025010781,0.999721558
0.025553503,0.999718554
0.026108001,0.999715516
0.026674533,0.999712446
0.027253357,0.999709343
0.027844742,0.999706207
0.02844896,0.999703036
0.029066289,0.999699831
0.029697013,0.999696592
0.030341424,0.999693318
0.030999819,0.999690008
0.0316725,0.999686663
0.032359778,0.999683282
0.03306197,0.999679864
0.033779399,0.999676409
0.034512395,0.999672917
0.035261298,0.999669387
0.036026451,0.999665819
0.036808208,0.999662213
0.037606929,0.999658568
0.038422981,0.999654883
0.039256741,0.999651159
0.040108594,0.999647394
0.040978931,0.999643589
0.041868154,0.999639743
0.042776673,0.999635855
0.043704907,0.999631926
0.044653282,0.999627954
0.045622237,0.999623939
0.046612218,0.99961988
0.047623681,0.999615778
0.048657092,0.999611632
0.049712928,0.999607441
0.050791675,0.999603205
0.05189383,0.999598922
0.053019901,0.999594594
0.054170408,0.999590219
0.055345879,0.999585797
0.056546859,0.999581327
0.057773898,0.999576809
0.059027564,0.999572242
0.060308434,0.999567626
0.061617099,0.99956296
0.06295416,0.999558244
0.064320236,0.999553477
0.065715954,0.999548658
0.067141959,0.999543787
0.068598907,0.999538864
0.070087471,0.999533888
0.071608335,0.999528858
0.073162202,0.999523773
0.074749787,0.999518634
0.076371822,0.999513439
0.078029054,0.999508189
0.079722247,0.999502881
0.081452182,0.999497516
0.083219655,0.999492094
0.085025482,0.999486613
0.086870494,0.999481073
0.088755542,0.999475473
0.090681495,0.999469812
0.09264924,0.999464091
0.094659685,0.999458307
0.096713755,0.999452462
0.098812397,0.999446553
0.100956579,0.99944058
0.103147288,0.999434543
0.105385535,0.999428441
0.107672351,0.999422273
0.11000879,0.999416039
0.112395928,0.999409737
0.114834866,0.999403367
0.117326728,0.999396928
0.119872661,0.99939042
0.122473841,0.999383842
0.125131465,0.999377193
0.127846758,0.999370472
0.130620971,0.999363678
0.133455384,0.999356811
0.136351302,0.99934987
0.13931006,0.999342854
0.142333022,0.999335763
0.145421581,0.999328595
0.14857716,0.999321349
0.151801213,0.999314025
0.155095227,0.999306623
0.158460719,0.99929914
0.161899241,0.999291577
0.165412378,0.999283932
0.169001747,0.999276204
0.172669004,0.999268393
0.176415839,0.999260498
0.180243979,0.999252518
0.184155187,0.999244451
0.188151267,0.999236298
0.192234059,0.999228056
0.196405447,0.999219726
0.200667351,0.999211305
0.205021737,0.999202794
0.209470611,0.999194191
0.214016023,0.999185495
0.218660068,0.999176706
0.223404887,0.999167821
0.228252667,0.99915884
0.233205641,0.999149763
0.238266092,0.999140588
0.243436352,0.999131313
0.248718805,0.999121939
0.254115884,0.999112463
0.259630077,0.999102885
0.265263926,0.999093204
0.271020027,0.999083418
0.276901032,0.999073527
0.282909652,0.999063529
