,W,R
88,6.61364311972978e-07,0.9999985681720588
89,6.757156017428187e-07,0.9999985527204408
90,6.903783076479577e-07,0.9999985371020762
91,7.053591872698277e-07,0.9999985213151654
92,7.206651448261559e-07,0.9999985053578898
93,7.363032343528962e-07,0.9999984892284106
94,7.52280662955214e-07,0.9999984729248697
95,7.686047941290175e-07,0.9999984564453885
96,7.852831511545549e-07,0.9999984397880685
97,8.023234205636686e-07,0.9999984229509905
98,8.197334556822697e-07,0.9999984059322146
99,8.375212802496917e-07,0.99999838872978
100,8.556950921165805e-07,0.9999983713417048
101,8.742632670230266e-07,0.9999983537659857
102,8.932343624586824e-07,0.9999983360005975
103,9.126171216066348e-07,0.9999983180434936
104,9.324204773728738e-07,0.999998299892605
105,9.526535565031823e-07,0.9999982815458406
106,9.733256837893686e-07,0.9999982630010863
107,9.94446386366773e-07,0.9999982442562059
108,1.016025398105017e-06,0.9999982253090394
109,1.0380726640940512e-06,0.9999982061574039
110,1.0605983452275273e-06,0.9999981867990929
111,1.083612822885638e-06,0.9999981672318761
112,1.1071267037195705e-06,0.999998147453499
113,1.1311508245397717e-06,0.9999981274616829
114,1.1556962573103076e-06,0.9999981072541245
115,1.1807743142515753e-06,0.9999980868284956
116,1.2063965530537526e-06,0.9999980661824428
117,1.2325747822033756e-06,0.9999980453135875
118,1.2593210664254997e-06,0.9999980242195252
119,1.286647732243956e-06,0.9999980028978257
120,1.314567373662249e-06,0.9999979813460323
121,1.3430928579677524e-06,0.9999979595616622
122,1.3722373316618309e-06,0.9999979375422051
123,1.40201422651865e-06,0.9999979152851245
124,1.4324372657754648e-06,0.9999978927878558
125,1.4635204704572165e-06,0.9999978700478072
126,1.4952781658384019e-06,0.9999978470623585
127,1.5277249880451308e-06,0.9999978238288616
128,1.560875890800461e-06,0.9999978003446397
129,1.5947461523161037e-06,0.999997776606987
130,1.6293513823336552e-06,0.9999977526131687
131,1.664707529318675e-06,0.9999977283604203
132,1.7008308878107854e-06,0.9999977038459475
133,1.7377381059333521e-06,0.9999976790669262
134,1.775446193066065e-06,0.999997654020501
135,1.8139725276840307e-06,0.9999976287037866
136,1.8533348653669718e-06,0.9999976031138661
137,1.893551346982201e-06,0.9999975772477911
138,1.9346405070452012e-06,0.9999975511025815
139,1.9766212822615872e-06,0.9999975246752251
140,2.0195130202544425e-06,0.9999974979626769
141,2.0633354884810387e-06,0.9999974709618594
142,2.1081088833430178e-06,0.9999974436696617
143,2.153853839494306e-06,0.9999974160829393
144,2.200591439350964e-06,0.999997388198514
145,2.248343222807412e-06,0.999997360013173
146,2.2971311971635006e-06,0.9999973315236689
147,2.3469778472669585e-06,0.9999973027267194
148,2.397906145876008e-06,0.9999972736190067
149,2.4499395642467204e-06,0.9999972441971772
150,2.503102082950237e-06,0.999997214457841
151,2.5574182029246373e-06,0.9999971843975718
152,2.6129129567666563e-06,0.9999971540129062
153,2.6696119202684322e-06,0.9999971233003435
154,2.7275412242045637e-06,0.9999970922563453
155,2.786727566374997e-06,0.9999970608773346
156,2.8471982239091828e-06,0.9999970291596963
157,2.9089810658372576e-06,0.9999969970997762
158,2.9721045659340095e-06,0.9999969646938803
159,3.036597815841525e-06,0.9999969319382752
160,3.1024905384766523e-06,0.9999968988291869
161,3.169813101729335e-06,0.9999968653628007
162,3.2385965324582274e-06,0.9999968315352611
163,3.3088725307900038e-06,0.9999967973426703
164,3.380673484728948e-06,0.9999967627810892
165,3.4540324850835804e-06,0.9999967278465355
166,3.5289833407171435e-06,0.9999966925349846
167,3.6055605941290898e-06,0.9999966568423678
168,3.683799537374609e-06,0.999996620764573
169,3.7637362283296358e-06,0.9999965842974435
170,3.845407507308804e-06,0.9999965474367778
171,3.928851014043961e-06,0.999996510178329
172,4.014105205031184e-06,0.9999964725178044
173,4.101209371254145e-06,0.9999964344508652
174,4.1902036562921e-06,0.9999963959731252
175,4.281129074820816e-06,0.9999963570801514
176,4.374027531514905e-06,0.9999963177674629
177,4.46894184036047e-06,0.9999962780305303
178,4.565915744386605e-06,0.9999962378647751
179,4.664993935825285e-06,0.99999619726557
180,4.766222076708571e-06,0.9999961562282372
181,4.869646819912815e-06,0.9999961147480486
182,4.975315830659519e-06,0.9999960728202253
183,5.0832778084827004e-06,0.9999960304399365
184,5.193582509673043e-06,0.9999959876022995
185,5.30628077020897e-06,0.9999959443023786
186,5.4214245291853594e-06,0.9999959005351853
187,5.5390668527506614e-06,0.9999958562956768
188,5.659261958563375e-06,0.9999958115787563
189,5.782065240779331e-06,0.9999957663792716
190,5.9075332955810815e-06,0.9999957206920153
191,6.035723947261316e-06,0.9999956745117233
192,6.166696274872276e-06,0.9999956278330753
193,6.300510639453376e-06,0.9999955806506932
194,6.437228711849855e-06,0.9999955329591408
195,6.5769135011347505e-06,0.9999954847529234
196,6.719629383647955e-06,0.9999954360264871
197,6.865442132665184e-06,0.9999953867742178
198,7.0144189487108265e-06,0.9999953369904412
199,7.166628490528579e-06,0.9999952866694212
200,7.322140906724048e-06,0.9999952358053603
201,7.481027868094129e-06,0.9999951843923982
202,7.643362600657773e-06,0.9999951324246115
203,7.80921991940358e-06,0.9999950798960127
204,7.97867626276969e-06,0.9999950268005499
205,8.151809727871803e-06,0.9999949731321055
206,8.328700106495793e-06,0.9999949188844964
207,8.509428921871164e-06,0.9999948640514725
208,8.694079466242579e-06,0.9999948086267163
209,8.882736839256633e-06,0.9999947526038419
210,9.07548798718162e-06,0.9999946959763949
211,9.272421742978358e-06,0.9999946387378509
212,9.47362886724044e-06,0.9999945808816153
213,9.67920209002306e-06,0.9999945224010223
214,9.889236153579312e-06,0.999994463289334
215,1.010382785602394e-05,0.99999440353974
216,1.0323076095944581e-05,0.9999943431453563
217,1.0547081917980916e-05,0.9999942820992246
218,1.0775948559393207e-05,0.9999942203943116
219,1.1009781497640815e-05,0.9999941580235081
220,1.1248688498993694e-05,0.999994094979628
221,1.1492779668198397e-05,0.9999940312554078
222,1.174216749922181e-05,0.9999939668435055
223,1.199696692709635e-05,0.9999939017365002
224,1.225729538088959e-05,0.9999938359268904
225,1.252327283782389e-05,0.9999937694070941
226,1.2795021878570055e-05,0.9999937021694473
227,1.30726677437408e-05,0.9999936342062031
228,1.335633839161053e-05,0.9999935655095314
229,1.3646164557086906e-05,0.9999934960715174
230,1.3942279811962777e-05,0.9999934258841607
231,1.4244820626475088e-05,0.9999933549393749
232,1.4553926432199755e-05,0.9999932832289862
233,1.486973968631135e-05,0.9999932107447324
234,1.5192405937236987e-05,0.9999931374782624
235,1.5522073891735363e-05,0.9999930634211349
236,1.5858895483430612e-05,0.9999929885648176
237,1.6203025942834097e-05,0.9999929129006857
238,1.6554623868885152e-05,0.999992836420022
239,1.6913851302044224e-05,0.9999927591140148
240,1.7280873798972625e-05,0.999992680973757
241,1.765586050883192e-05,0.9999926019902463
242,1.8038984251239853e-05,0.9999925221543824
243,1.843042159591731e-05,0.9999924414569672
244,1.8830352944063814e-05,0.9999923598887032
245,1.923896261149882e-05,0.9999922774401926
246,1.9656438913606926e-05,0.9999921941019362
247,2.008297425212678e-05,0.9999921098643323
248,2.051876520382285e-05,0.9999920247176755
249,2.0964012611081526e-05,0.9999919386521559
250,2.1418921674473122e-05,0.9999918516578572
251,2.1883702047322173e-05,0.9999917637247568
252,2.2358567932330554e-05,0.9999916748427236
253,2.2843738180296177e-05,0.9999915850015169
254,2.333943639097495e-05,0.9999914941907859
255,2.384589101613072e-05,0.9999914024000679
256,2.4363335464821327e-05,0.9999913096187875
257,2.489200821097006e-05,0.9999912158362547
258,2.543215290327012e-05,0.9999911210416648
259,2.5984018477475213e-05,0.9999910252240959
260,2.6547859271125988e-05,0.9999909283725086
261,2.712393514076627e-05,0.9999908304757442
262,2.771251158170287e-05,0.9999907315225237
263,2.8313859850363753e-05,0.9999906315014463
264,2.8928257089312246e-05,0.9999905304009882
265,2.955598645497256e-05,0.9999904282095011
266,3.0197337248128342e-05,0.9999903249152113
267,3.085260504725211e-05,0.9999902205062178
268,3.152209184472783e-05,0.9999901149704912
269,3.220610618603046e-05,0.9999900082958724
270,3.290496331192398e-05,0.999989900470071
271,3.361898530374668e-05,0.9999897914806639
272,3.434850123184811e-05,0.999989681315094
273,3.5093847307246986e-05,0.9999895699606688
274,3.585536703658108e-05,0.9999894574045587
275,3.66334113804177e-05,0.9999893436337957
276,3.742833891500114e-05,0.9999892286352717
277,3.8240515997508935e-05,0.9999891123957374
278,3.907031693489441e-05,0.9999889949018004
279,3.9918124156393154e-05,0.9999888761399237
280,4.078432838977221e-05,0.9999887560964243
281,4.166932884140519e-05,0.9999886347574717
282,4.257353338025278e-05,0.9999885121090857
283,4.349735872583774e-05,0.9999883881371356
284,4.444123064029745e-05,0.9999882628273383
285,4.540558412460404e-05,0.9999881361652562
286,4.6390863619043644e-05,0.9999880081362961
287,4.739752320804375e-05,0.9999878787257072
288,4.842602682944747e-05,0.9999877479185797
289,4.9476848488327476e-05,0.999987615699843
290,5.05504724754402e-05,0.9999874820542632
291,5.1647393590420335e-05,0.999987346966443
292,5.276811736981807e-05,0.9999872104208181
293,5.391316032008564e-05,0.9999870724016566
294,5.5083050155618585e-05,0.9999869328930568
295,5.627832604196282e-05,0.9999867918789455
296,5.7499538844299306e-05,0.9999866493430757
297,5.874725138131988e-05,0.9999865052690254
298,6.002203868461411e-05,0.9999863596401953
299,6.132448826368163e-05,0.9999862124398069
300,6.265520037669816e-05,0.9999860636509008
